Language,Accuracy
Marathi,0.990521327014218
Hindi,0.89501312335958
English,0.9203322054752384
Telugu,0.9864291772688719
Tamil,0.6004016064257028
Gujarati,0.9204212990052663
Malayalam,0.6332179930795848
Assamese,0.8421052631578947
Odia,0.5726495726495726
Bangla,0.7678571428571429
